src,flight,sched_dep_time,act_dep_time,dept_gate,sched_arr_time,act_arr_time,arrival_gate
flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
mco,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
flights,AA-3-JFK-LAX,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
flightarrival,CO-1586-IAH-MCO,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
travelocity,CO-1694-LAX-IAH,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
foxbusiness,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
usatoday,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
orbitz,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
flytecomm,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
mytripandmore,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
ord,AA-1434-DFW-MCO,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
wunderground,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
flylouisville,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
quicktrip,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
allegiantair,AA-1279-DFW-PHX,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
businesstravellogue,CO-4888-IAH-DAL,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
gofox,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
flightaware,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
world-flight-tracker,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
helloflight,CO-50-CLE-EWR,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
boston,AA-1221-MCO-ORD,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
weather,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
airtravelcenter,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flightview,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flightstats,AA-1640-MIA-MCO,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
panynj,UA-2708-EWR-CLT,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flightexplorer,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
dfw,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flights,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flightarrival,CO-1586-IAH-MCO,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
travelocity,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
foxbusiness,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
myrateplan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
orbitz,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flytecomm,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
wunderground,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flylouisville,AA-222-LAX-BOS,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
quicktrip,UA-233-LAX-JFK,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
allegiantair,CO-47-IAH-LAX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
businesstravellogue,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
gofox,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
flightaware,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
world-flight-tracker,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,E5,2:35 p.m.,3:30 p.m.,15
aa,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
helloflight,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
boston,AA-404-MIA-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
weather,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
airtravelcenter,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flightview,AA-1221-MCO-ORD,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flightstats,AA-616-DFW-DTW,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
panynj,CO-47-IAH-LAX,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flightexplorer,AA-3786-IAH-ORD,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
mco,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flights,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flightwise,UA-2708-EWR-CLT,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
travelocity,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
foxbusiness,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
myrateplan,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
orbitz,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
ifly,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flytecomm,AA-643-MIA-ORD,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
wunderground,UA-843-LAX-ORD,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flylouisville,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
quicktrip,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
allegiantair,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
businesstravellogue,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
gofox,CO-16-LAX-EWR,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
flightaware,AA-204-LAX-MCO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
world-flight-tracker,UA-414-LAX-SFO,7:15 a.m.,7:21 a.m.,A27,10:35 a.m.,10:36 a.m.,D1
aa,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
helloflight,CO-52-IAH-LAX,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
boston,CO-1193-EWR-MCO,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
weather,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
airtravelcenter,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
flightview,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
flightstats,AA-1733-ORD-PHX,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
panynj,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
flightexplorer,UA-2726-FLL-PHL,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
flights,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
travelocity,CO-1023-IAH-DEN,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
foxbusiness,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
usatoday,CO-1614-LAX-IAH,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
myrateplan,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
orbitz,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
flytecomm,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
ord,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
flylouisville,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
quicktrip,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
allegiantair,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
businesstravellogue,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
gofox,CO-89-IAH-EWR,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
world-flight-tracker,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,B13,5:50 a.m.,5:50 a.m.,58
aa,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
helloflight,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
boston,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
weather,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
airtravelcenter,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
flightview,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
panynj,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
flightexplorer,AA-404-MIA-MCO,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
flights,CO-1614-LAX-IAH,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
flightarrival,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
travelocity,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
foxbusiness,AA-3842-MSP-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
usatoday,AA-484-DFW-MIA,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
myrateplan,AA-2525-DFW-MIA,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
orbitz,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
flytecomm,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
mytripandmore,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
ord,CO-1088-CLE-IAH,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
flylouisville,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
allegiantair,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
businesstravellogue,UA-1500-IAH-GUA,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
gofox,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,C126,5:25 p.m.,4:56 p.m.,39
aa,UA-3515-IAD-MSP,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
helloflight,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
boston,CO-50-CLE-EWR,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
weather,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
airtravelcenter,AA-204-LAX-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flightview,CO-1694-LAX-IAH,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flightstats,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
panynj,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flightexplorer,AA-2268-PHX-ORD,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
mco,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flights,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flightarrival,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flightwise,CO-47-IAH-LAX,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
travelocity,CO-62-IAH-EWR,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
foxbusiness,AA-4198-ORD-CLE,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
usatoday,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
myrateplan,CO-1694-LAX-IAH,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
orbitz,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flytecomm,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
mytripandmore,AA-484-DFW-MIA,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
wunderground,UA-2906-PHL-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flylouisville,AA-204-LAX-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
quicktrip,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
allegiantair,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
businesstravellogue,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
gofox,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
flightaware,CO-1193-EWR-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
world-flight-tracker,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,G19A,7:25 p.m.,7:25 p.m.,D28
aa,UA-397-JFK-SFO,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
helloflight,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
boston,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
weather,AA-3809-PHX-LAX,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
airtravelcenter,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flightview,UA-37-EWR-MCO,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flightstats,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
panynj,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flightexplorer,UA-3099-PHX-PHL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flights,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flightarrival,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
travelocity,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
foxbusiness,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
usatoday,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
myrateplan,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
orbitz,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flytecomm,AA-446-DFW-PHL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
mytripandmore,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
wunderground,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flylouisville,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
quicktrip,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
allegiantair,AA-85-JFK-SFO,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
businesstravellogue,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
gofox,AA-2268-PHX-ORD,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
flightaware,AA-2957-DFW-CVG,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
world-flight-tracker,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,G1A,12:10 p.m.,11:56 a.m.,D28
aa,CO-1586-IAH-MCO,7:45 p.m.,7:58 p.m.,D51,10:30 p.m.,10:30 p.m.,49A
helloflight,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,D51,10:30 p.m.,10:30 p.m.,49A
boston,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,D51,10:30 p.m.,10:30 p.m.,49A
weather,AA-1917-JFK-MCO,7:45 p.m.,7:58 p.m.,D51,10:30 p.m.,10:30 p.m.,49A
