beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
Overlord Imperial IPA,American Double / Imperial IPA,16.0,0.085,115,17,Tin Man Brewing Company,Evansville,IN
Alloy,American IPA,16.0,0.058,36,17,Tin Man Brewing Company,Evansville,IN
Rivet Irish Red Ale,Irish Red Ale,16.0,0.051,22,17,Tin Man Brewing Company,Evansville,IN
3 Gear Robust Porter,American Porter,16.0,0.052,50,17,Tin Man Brewing Company,Evansville,IN
Circuit Bohemian Pilsner,Czech Pilsener,16.0,0.045,35,17,Tin Man Brewing Company,Evansville,IN
Saucy Intruder,Rye Beer,16.0,0.072,75,18,Black Acre Brewing Co.,Indianapolis,IN
Thai.p.a,American IPA,16.0,0.07,46,20,Bare Hands Brewery,Granger,IN
Citra Faced,American Pale Wheat Ale,16.0,0.055,64,112,Three Pints Brewing,Martinsville,IN
Pole Barn Stout,Oatmeal Stout,16.0,0.055,31,21,Three Pints Brewing,Martinsville,IN
Pale,American Pale Ale (APA),16.0,0.054,37,21,Three Pints Brewing,Martinsville,IN
Yoshi's Nectar,California Common / Steam Beer,16.0,0.053,27,21,Three Pints Brewing,Martinsville,IN
The Gadget,American IPA,16.0,0.064,90,22,Four Fathers Brewing,Valparaiso,IN
Tribute,American Pale Ale (APA),12.0,0.058,58,23,Indiana City Brewing,Indianapolis,IN
Pale Alement,American Pale Ale (APA),12.0,0.055,40,155,Burn 'Em Brewing,Michigan City,IN
Hopkick Dropkick,American Double / Imperial IPA,12.0,0.099,115,24,Burn 'Em Brewing,Michigan City,IN
Joey Wheat,American Pale Wheat Ale,16.0,0.068,16,24,Burn 'Em Brewing,Michigan City,IN
3:33 Black IPA,American IPA,16.0,0.072,86,24,Burn 'Em Brewing,Michigan City,IN
Pale Alement,American Pale Ale (APA),16.0,0.055,40,24,Burn 'Em Brewing,Michigan City,IN
Tip Off,Altbier,16.0,0.052,29,25,Sun King Brewing Company,Indianapolis,IN
Cowbell,American Porter,16.0,0.054,23,51,Sun King Brewing Company,Indianapolis,IN
Hop Up Offa That Brett (2014),Belgian Pale Ale,16.0,0.058,20,264,Sun King Brewing Company,Indianapolis,IN
PV Muckle (2013),Scotch Ale / Wee Heavy,16.0,0.083,23,25,Sun King Brewing Company,Indianapolis,IN
Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,16.0,0.099,36,25,Sun King Brewing Company,Indianapolis,IN
Whip Fight,Scotch Ale / Wee Heavy,16.0,0.09,30,25,Sun King Brewing Company,Indianapolis,IN
Port Barrel Wee Mac,Scotch Ale / Wee Heavy,16.0,0.053,23,3,Sun King Brewing Company,Indianapolis,IN
Fistful Of Hops Red,American IPA,16.0,0.064,75,183,Sun King Brewing Company,Indianapolis,IN
Fistful of Hops Orange,American IPA,16.0,0.063,75,25,Sun King Brewing Company,Indianapolis,IN
Fistful Of Hops Blue,American IPA,16.0,0.064,75,44,Sun King Brewing Company,Indianapolis,IN
Fistful of Hops Green,American IPA,16.0,0.064,75,25,Sun King Brewing Company,Indianapolis,IN
Wee Muckle,Scotch Ale / Wee Heavy,16.0,0.09,30,171,Sun King Brewing Company,Indianapolis,IN
Royal Brat,Extra Special / Strong Bitter (ESB),16.0,0.065,55,25,Sun King Brewing Company,Indianapolis,IN
Grapefruit Jungle (GFJ),American IPA,16.0,0.075,77,25,Sun King Brewing Company,Indianapolis,IN
Osiris Pale Ale,American Pale Ale (APA),16.0,0.056,50,25,Sun King Brewing Company,Indianapolis,IN
Bourbon Barrel Aged Timmie,Russian Imperial Stout,16.0,0.099,75,25,Sun King Brewing Company,Indianapolis,IN
Stupid Sexy Flanders,Flanders Oud Bruin,16.0,0.063,23,25,Sun King Brewing Company,Indianapolis,IN
Ring of Dingle,Irish Dry Stout,16.0,0.071,27,368,Sun King Brewing Company,Indianapolis,IN
Bourbon Barrel Wee Mac,Scottish Ale,16.0,0.054,23,230,Sun King Brewing Company,Indianapolis,IN
Bourbon Barrel Johan,English Barleywine,16.0,0.099,60,362,Sun King Brewing Company,Indianapolis,IN
The Velvet Fog,Quadrupel (Quad),16.0,0.09,24,107,Sun King Brewing Company,Indianapolis,IN
Indianapolis Indians Lager,Dortmunder / Export Lager,16.0,0.052,24,25,Sun King Brewing Company,Indianapolis,IN
Indians Victory Lager (2012),Dortmunder / Export Lager,16.0,0.052,24,25,Sun King Brewing Company,Indianapolis,IN
Isis,American Double / Imperial IPA,16.0,0.091,91,25,Sun King Brewing Company,Indianapolis,IN
Wee Muckle (2011),Scotch Ale / Wee Heavy,16.0,0.09,30,25,Sun King Brewing Company,Indianapolis,IN
Grapefruit Jungle (GFJ) (2011),American IPA,16.0,0.075,77,25,Sun King Brewing Company,Indianapolis,IN
Johan the Barleywine,English Barleywine,16.0,0.099,60,93,Sun King Brewing Company,Indianapolis,IN
Wee Mac Scottish-Style Ale,Scottish Ale,16.0,0.054,23,25,Sun King Brewing Company,Indianapolis,IN
Sunlight Cream Ale,Cream Ale,16.0,0.053,20,25,Sun King Brewing Company,Indianapolis,IN
Osiris Pale Ale (2010),American Pale Ale (APA),16.0,0.056,50,25,Sun King Brewing Company,Indianapolis,IN
Blonde Czich,American Blonde Ale,16.0,0.049,23,284,Evil Czech Brewery,Mishawaka,IN
White Reaper,Belgian IPA,16.0,0.07,61,26,Evil Czech Brewery,Mishawaka,IN
General George Patton Pilsner,Czech Pilsener,16.0,0.054,48,26,Evil Czech Brewery,Mishawaka,IN
Citrafest,American IPA,16.0,0.05,45,27,450 North Brewing Company,Columbus,IN
Scarecrow,American IPA,16.0,0.069,65,27,450 North Brewing Company,Columbus,IN
Ironman,English Strong Ale,16.0,0.09,50,393,450 North Brewing Company,Columbus,IN
Copperhead Amber,Belgian Dark Ale,16.0,0.052,18,27,450 North Brewing Company,Columbus,IN
Deduction,Dubbel,12.0,0.08,22,28,Taxman Brewing Company,Bargersville,IN
Gone A-Rye,American Double / Imperial IPA,16.0,0.085,90,190,Cedar Creek Brewery,Seven Points,TX
Dankosaurus,American IPA,16.0,0.068,70,57,Cedar Creek Brewery,Seven Points,TX
Scruffy's Smoked Alt,Smoked Beer,16.0,0.051,35,29,Cedar Creek Brewery,Seven Points,TX
Elliott's Phoned Home Pale Ale,American Pale Ale (APA),16.0,0.051,36,29,Cedar Creek Brewery,Seven Points,TX
The Lawn Ranger,Cream Ale,16.0,0.05,18,29,Cedar Creek Brewery,Seven Points,TX
Sex Panther,American Porter,12.0,0.069,20,30,SanTan Brewing Company,Chandler,AZ
Winter Warmer (Vault Series),Winter Warmer,16.0,0.095,25,30,SanTan Brewing Company,Chandler,AZ
Count Hopula (Vault Series),American Double / Imperial IPA,16.0,0.091,99,30,SanTan Brewing Company,Chandler,AZ
SunSpot Golden Ale,American Blonde Ale,12.0,0.05,15,30,SanTan Brewing Company,Chandler,AZ
Epicenter Amber Ale,American Amber / Red Ale,12.0,0.055,20,1,SanTan Brewing Company,Chandler,AZ
SanTan HefeWeizen,Hefeweizen,12.0,0.05,15,30,SanTan Brewing Company,Chandler,AZ
Hop Shock IPA,American IPA,12.0,0.07,85,393,SanTan Brewing Company,Chandler,AZ
Sex Panther (2014),American Porter,12.0,0.069,20,362,SanTan Brewing Company,Chandler,AZ
Mr. Pineapple,Fruit / Vegetable Beer,12.0,0.05,20,397,SanTan Brewing Company,Chandler,AZ
American Idiot Ale (2012),American Pale Ale (APA),12.0,0.055,45,30,SanTan Brewing Company,Chandler,AZ
Hop Shock IPA (2010),American IPA,12.0,0.07,85,30,SanTan Brewing Company,Chandler,AZ
SanTan HefeWeizen (2010),Hefeweizen,12.0,0.05,15,30,SanTan Brewing Company,Chandler,AZ
Epicenter Amber Ale (2010),American Amber / Red Ale,12.0,0.055,20,30,SanTan Brewing Company,Chandler,AZ
Heavy Lifting,American IPA,12.0,0.062,80,31,Boulevard Brewing Company,Kansas City,MO
Surfrider,American Pale Ale (APA),16.0,0.052,35,307,The Dudes' Brewing Company,Torrance,CA
Grandma's Pecan,English Brown Ale,16.0,0.069,34,33,The Dudes' Brewing Company,Torrance,CA
Double Trunk,American Double / Imperial IPA,16.0,0.099,101,33,The Dudes' Brewing Company,Torrance,CA
Even Keel,American IPA,12.0,0.038,40,34,Ballast Point Brewing Company,San Diego,CA
Big Eye India Pale Ale,American IPA,12.0,0.07,75,222,Ballast Point Brewing Company,San Diego,CA
Sculpin IPA,American IPA,12.0,0.07,70,34,Ballast Point Brewing Company,San Diego,CA
Czech Yo Self,Czech Pilsener,12.0,0.055,45,36,Figueroa Mountain Brewing Company,Buellton,CA
White Rascal,Witbier,12.0,0.056,10,45,Avery Brewing Company,Boulder,CO
Avery India Pale Ale,American IPA,12.0,0.063,69,37,Avery Brewing Company,Boulder,CO
Cow Creek,American Amber / Red Lager,12.0,0.054,26,38,Twisted X Brewing Company,Dripping Springs,TX
Chupahopra,American IPA,12.0,0.075,63,38,Twisted X Brewing Company,Dripping Springs,TX
Twisted X,American Adjunct Lager,12.0,0.051,19,1,Twisted X Brewing Company,Dripping Springs,TX
Vanilla Porter,American Porter,16.0,0.07,11,39,Gonzo's BiggDogg Brewing,Kalamazoo,MI
Galaxy IPA,American IPA,16.0,0.075,60,40,Big Muddy Brewing,Murphysboro,IL
Gose,Gose,16.0,0.046,8,41,Lost Nation Brewing,East Fairfield,VT
Vermont Pilsner,German Pilsener,16.0,0.048,20,277,Lost Nation Brewing,East Fairfield,VT
Jah Mon,American IPA,12.0,0.05,100,43,Rivertowne Brewing Company,Export,PA
Fist City,American Pale Ale (APA),12.0,0.055,40,44,Revolution Brewing Company,Chicago,IL
Rosa Hibiscus Ale,Herbed / Spiced Beer,12.0,0.058,15,44,Revolution Brewing Company,Chicago,IL
Fistmas Ale,Herbed / Spiced Beer,12.0,0.061,31,44,Revolution Brewing Company,Chicago,IL
Eugene Porter,American Porter,12.0,0.068,28,264,Revolution Brewing Company,Chicago,IL
Anti-Hero IPA,American IPA,12.0,0.065,70,44,Revolution Brewing Company,Chicago,IL
Bottom Up Belgian Wit,Witbier,12.0,0.05,14,223,Revolution Brewing Company,Chicago,IL
Wooden Rooster,Tripel,16.9,0.085,34,45,Tallgrass Brewing Company,Manhattan,KS
Ginger Peach Saison,Saison / Farmhouse Ale,16.0,0.048,20,45,Tallgrass Brewing Company,Manhattan,KS
Zombie Monkie,American Porter,16.0,0.062,35,45,Tallgrass Brewing Company,Manhattan,KS
Wild Plum Farmhouse Ale,Saison / Farmhouse Ale,16.0,0.056,20,45,Tallgrass Brewing Company,Manhattan,KS
Vanilla Bean Buffalo Sweat,Oatmeal Stout,16.0,0.05,20,155,Tallgrass Brewing Company,Manhattan,KS
Ethos IPA,American IPA,16.0,0.068,110,45,Tallgrass Brewing Company,Manhattan,KS
Tallgrass Pub Ale,American Brown Ale,16.0,0.044,12,45,Tallgrass Brewing Company,Manhattan,KS
Oasis,Extra Special / Strong Bitter (ESB),16.0,0.072,93,45,Tallgrass Brewing Company,Manhattan,KS
Buffalo Sweat,Milk / Sweet Stout,16.0,0.05,20,336,Tallgrass Brewing Company,Manhattan,KS
Halcyon Unfiltered Wheat,American Pale Wheat Ale,16.0,0.05,20,45,Tallgrass Brewing Company,Manhattan,KS
Halcyon Unfiltered Wheat,American Pale Wheat Ale,12.0,0.05,20,45,Tallgrass Brewing Company,Manhattan,KS
Oasis (2010),American Double / Imperial IPA,16.0,0.072,93,368,Tallgrass Brewing Company,Manhattan,KS
Tallgrass Ale,American Brown Ale,16.0,0.044,22,45,Tallgrass Brewing Company,Manhattan,KS
Buffalo Sweat (2010),Milk / Sweet Stout,16.0,0.05,20,295,Tallgrass Brewing Company,Manhattan,KS
Tallgrass IPA,American IPA,16.0,0.063,60,45,Tallgrass Brewing Company,Manhattan,KS
4Beans,Baltic Porter,12.0,0.1,52,46,Sixpoint Craft Ales,Brooklyn,NY
Jammer,Gose,12.0,0.042,16,447,Sixpoint Craft Ales,Brooklyn,NY
Rad,Fruit / Vegetable Beer,16.0,0.032,7,110,Sixpoint Craft Ales,Brooklyn,NY
Bengali,American IPA,24.0,0.065,62,268,Sixpoint Craft Ales,Brooklyn,NY
Sensi Harvest,American Pale Ale (APA),12.0,0.047,50,68,Sixpoint Craft Ales,Brooklyn,NY
Hi-Res,American Double / Imperial IPA,12.0,0.099,111,46,Sixpoint Craft Ales,Brooklyn,NY
Global Warmer,American Strong Ale,12.0,0.07,70,46,Sixpoint Craft Ales,Brooklyn,NY
Autumnation (2013),American IPA,16.0,0.067,74,314,Sixpoint Craft Ales,Brooklyn,NY
The Crisp,German Pilsener,16.0,0.054,42,46,Sixpoint Craft Ales,Brooklyn,NY
Sweet Action,Cream Ale,16.0,0.052,34,46,Sixpoint Craft Ales,Brooklyn,NY
Righteous Ale,Rye Beer,16.0,0.063,57,46,Sixpoint Craft Ales,Brooklyn,NY
Bengali Tiger,American IPA,16.0,0.064,62,192,Sixpoint Craft Ales,Brooklyn,NY
3Beans,Baltic Porter,12.0,0.099,85,46,Sixpoint Craft Ales,Brooklyn,NY
Brownstone,American Brown Ale,16.0,0.059,47,46,Sixpoint Craft Ales,Brooklyn,NY
Apollo,American Pale Wheat Ale,16.0,0.052,11,46,Sixpoint Craft Ales,Brooklyn,NY
Harbinger,Saison / Farmhouse Ale,16.0,0.049,35,295,Sixpoint Craft Ales,Brooklyn,NY
Resin,American Double / Imperial IPA,12.0,0.091,103,530,Sixpoint Craft Ales,Brooklyn,NY
Diesel,American Stout,16.0,0.063,69,30,Sixpoint Craft Ales,Brooklyn,NY
Autumnation (2011-12) (2011),Pumpkin Ale,16.0,0.06,48,46,Sixpoint Craft Ales,Brooklyn,NY
The Crisp (2011),German Pilsener,16.0,0.054,42,46,Sixpoint Craft Ales,Brooklyn,NY
Sweet Action (2011),Cream Ale,16.0,0.052,34,46,Sixpoint Craft Ales,Brooklyn,NY
Righteous Ale (2011),Rye Beer,16.0,0.063,57,46,Sixpoint Craft Ales,Brooklyn,NY
Bengali Tiger (2011),American IPA,16.0,0.064,62,46,Sixpoint Craft Ales,Brooklyn,NY
Easy Jack,American IPA,12.0,0.045,47,48,Firestone Walker Brewing Company,Paso Robles,CA
Union Jack,American IPA,12.0,0.075,75,135,Firestone Walker Brewing Company,Paso Robles,CA
805,American Blonde Ale,12.0,0.047,20,48,Firestone Walker Brewing Company,Paso Robles,CA
Take Two Pils,German Pilsener,12.0,0.055,35,49,SweetWater Brewing Company,Atlanta,GA
Flying Mouse 4,American IPA,12.0,0.07,70,50,Flying Mouse Brewery,Troutville,VA
Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,19.2,0.068,24,66,Upslope Brewing Company,Boulder,CO
Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,American Double / Imperial Stout,19.2,0.099,51,51,Upslope Brewing Company,Boulder,CO
Thai Style White IPA,American White IPA,12.0,0.065,33,51,Upslope Brewing Company,Boulder,CO
Ferus Fluxus Wild Belgian Pale Ale,American Wild Ale,19.2,0.075,30,51,Upslope Brewing Company,Boulder,CO
Upslope Imperial India Pale Ale,American Double / Imperial IPA,19.2,0.099,90,51,Upslope Brewing Company,Boulder,CO
Upslope Belgian Style Pale Ale,Belgian Pale Ale,12.0,0.075,30,449,Upslope Brewing Company,Boulder,CO
Top Rope Mexican-style Craft Lager,Vienna Lager,12.0,0.048,15,51,Upslope Brewing Company,Boulder,CO
Upslope Craft Lager,Vienna Lager,12.0,0.048,22,51,Upslope Brewing Company,Boulder,CO
Moar,English India Pale Ale (IPA),12.0,0.044,44,53,Bent Brewstillery,Roseville,MN
Nordic Blonde,American Blonde Ale,12.0,0.057,27,322,Bent Brewstillery,Roseville,MN
Mazzie,American Pale Ale (APA),12.0,0.054,45,55,Pollyanna Brewing Company,Lemont,IL
Weissenheimer,Hefeweizen,12.0,0.052,16,51,Destihl Brewery,Bloomington,IL
Abbey's Single (2015- ),Abbey Single Ale,12.0,0.049,22,57,Destihl Brewery,Bloomington,IL
Vertex IPA,American IPA,12.0,0.063,76,314,Destihl Brewery,Bloomington,IL
Here Gose Nothin',Gose,12.0,0.05,12,57,Destihl Brewery,Bloomington,IL
Hoperation Overload,American Double / Imperial IPA,12.0,0.096,85,57,Destihl Brewery,Bloomington,IL
Abbey's Single Ale (Current),Abbey Single Ale,12.0,0.049,22,57,Destihl Brewery,Bloomington,IL
Make It So,Extra Special / Strong Bitter (ESB),12.0,0.053,40,58,Summit Brewing Company,St. Paul,MN
Hopvale Organic Ale,American Pale Ale (APA),16.0,0.047,55,58,Summit Brewing Company,St. Paul,MN
Unchained #18 Hop Silo,American Double / Imperial IPA,16.0,0.083,100,326,Summit Brewing Company,St. Paul,MN
Passion Fruit Prussia,Berliner Weissbier,12.0,0.035,11,60,4 Hands Brewing Company,Saint Louis,MO
Send Help,American Blonde Ale,12.0,0.045,18,60,4 Hands Brewing Company,Saint Louis,MO
Contact High,American Pale Wheat Ale,12.0,0.05,28,203,4 Hands Brewing Company,Saint Louis,MO
BLAKKR,American Black Ale,16.0,0.099,85,61,Surly Brewing Company,Brooklyn Center,MN
Overrated! West Coast Style IPA,American IPA,16.0,0.073,69,110,Surly Brewing Company,Brooklyn Center,MN
WET,American IPA,16.0,0.075,90,61,Surly Brewing Company,Brooklyn Center,MN
Bitter Brewer,English Bitter,16.0,0.04,37,61,Surly Brewing Company,Brooklyn Center,MN
SurlyFest,Rye Beer,16.0,0.055,34,97,Surly Brewing Company,Brooklyn Center,MN
Coffee Bender,American Brown Ale,16.0,0.051,45,61,Surly Brewing Company,Brooklyn Center,MN
Bender,American Brown Ale,16.0,0.051,45,61,Surly Brewing Company,Brooklyn Center,MN
Abrasive Ale,American Double / Imperial IPA,16.0,0.097,120,61,Surly Brewing Company,Brooklyn Center,MN
Hell,Keller Bier / Zwickel Bier,16.0,0.051,20,360,Surly Brewing Company,Brooklyn Center,MN
CynicAle,Saison / Farmhouse Ale,16.0,0.067,33,61,Surly Brewing Company,Brooklyn Center,MN
Furious,American IPA,16.0,0.062,99,61,Surly Brewing Company,Brooklyn Center,MN
Citra Ass Down,American IPA,16.0,0.082,68,199,Against The Grain Brewery,Louisville,KY
The Brown Note,American Brown Ale,16.0,0.05,20,62,Against The Grain Brewery,Louisville,KY
Neomexicanus Native,American Pale Ale (APA),12.0,0.06,46,0,Crazy Mountain Brewing Company,Edwards,CO
Old Soul,Belgian Strong Pale Ale,12.0,0.075,25,63,Crazy Mountain Brewing Company,Edwards,CO
Lava Lake Wit,Witbier,12.0,0.052,15,63,Crazy Mountain Brewing Company,Edwards,CO
Crazy Mountain Amber Ale,American Amber / Red Ale,12.0,0.052,25,63,Crazy Mountain Brewing Company,Edwards,CO
Daft Funk,Berliner Weissbier,24.0,0.043,8,65,Mikerphone Brewing,Chicago,IL
Texicali,American Brown Ale,12.0,0.065,33,141,Freetail Brewing Company,San Antonio,TX
Bat Outta Helles,Munich Helles Lager,12.0,0.042,20,66,Freetail Brewing Company,San Antonio,TX
Rye Wit,Witbier,12.0,0.042,10,66,Freetail Brewing Company,San Antonio,TX
Soul Doubt,American IPA,12.0,0.059,70,66,Freetail Brewing Company,San Antonio,TX
Yo Soy Un Berliner,Berliner Weissbier,12.0,0.044,5,66,Freetail Brewing Company,San Antonio,TX
Bimini Twist,American IPA,12.0,0.07,82,67,3 Daughters Brewing,St Petersburg,FL
Farmer's Daughter Blonde,American Blonde Ale,16.0,0.051,17,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
Pump House IPA,American IPA,16.0,0.055,45,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
Vanilla Porter,American Porter,16.0,0.047,25,17,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
Honey Rye,Rye Beer,16.0,0.058,18,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
Long Leaf,American IPA,16.0,0.071,75,69,Appalachian Mountain Brewery,Boone,NC
Honey Badger Blonde,American Blonde Ale,16.0,0.047,19,69,Appalachian Mountain Brewery,Boone,NC
Porter (a/k/a Black Gold Porter),American Porter,16.0,0.06,23,230,Appalachian Mountain Brewery,Boone,NC
Jalapeno Pale Ale,American Pale Ale (APA),16.0,0.055,45,70,Birdsong Brewing Company,Charlotte,NC
Double Duckpin,American Double / Imperial IPA,12.0,0.085,90,71,Union Craft Brewing,Baltimore,MD
Old Pro,Gose,12.0,0.042,10,171,Union Craft Brewing,Baltimore,MD
Hop A-Peel,American Double / Imperial IPA,16.0,0.075,115,72,Atwater Brewery,Detroit,MI
Vanilla Java Porter,American Porter,16.0,0.055,12,72,Atwater Brewery,Detroit,MI
Dirty Blonde Ale,American Blonde Ale,12.0,0.045,8,72,Atwater Brewery,Detroit,MI
Grand Circus IPA,American IPA,12.0,0.05,62,72,Atwater Brewery,Detroit,MI
Atwater's Lager,Munich Helles Lager,12.0,0.05,12,68,Atwater Brewery,Detroit,MI
Wobble,American IPA,16.0,0.063,69,74,Two Brothers Brewing Company,Warrenville,IL
Night Cat,American Dark Wheat Ale,12.0,0.058,43,74,Two Brothers Brewing Company,Warrenville,IL
Night Cat (2014),American Dark Wheat Ale,12.0,0.058,43,74,Two Brothers Brewing Company,Warrenville,IL
Dog Days Lager,Dortmunder / Export Lager,12.0,0.051,17,74,Two Brothers Brewing Company,Warrenville,IL
Sidekick Extra Pale Ale,American Pale Ale (APA),12.0,0.051,36,74,Two Brothers Brewing Company,Warrenville,IL
Cane and Ebel,American Strong Ale,12.0,0.07,68,453,Two Brothers Brewing Company,Warrenville,IL
Harness the Winter,American IPA,12.0,0.072,87,75,Bent Paddle Brewing Company,Duluth,MN
Bent Hop Golden IPA,American IPA,12.0,0.062,68,44,Bent Paddle Brewing Company,Duluth,MN
Bent Paddle Black Ale,American Black Ale,12.0,0.06,34,75,Bent Paddle Brewing Company,Duluth,MN
Venture Pils,German Pilsener,12.0,0.05,38,75,Bent Paddle Brewing Company,Duluth,MN
Baby Daddy Session IPA,American IPA,12.0,0.047,35,78,Speakasy Ales & Lagers,San Francisco,CA
Saddle Bronc Brown Ale,American Brown Ale,12.0,0.048,16,79,Black Tooth Brewing Company,Sheridan,WY
Bomber Mountain Amber Ale,American Amber / Red Ale,12.0,0.046,20,307,Black Tooth Brewing Company,Sheridan,WY
Totally Radler,Radler,16.0,0.027,21,80,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,72,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,80,Hopworks Urban Brewery,Portland,OR
